OLD_ID,NEW_ID,COUNT
0,0,18625023576
0,1,189
0,2,34
0,8,109
0,11,104
0,12,643
0,13,565
0,14,281
0,16,2386
0,18,14026173
0,19,151
1,0,596
1,1,2656883868
1,2,42046911
1,5,5762108
1,6,655
1,8,72034007
1,10,111631207
1,11,7451703
1,12,4176686
1,13,127793
1,14,11340
1,15,434342
1,16,9092833
1,17,2527604
1,18,283
1,19,18082
2,1,8
2,2,212062728
2,5,755
2,6,151976
2,8,4563898
2,10,10895548
2,11,9129735
2,12,17337
2,13,66028
2,14,638
2,15,109
2,16,436599
2,17,51321
2,18,5155622
2,19,14
3,3,1
5,1,4
5,2,661
5,5,202098934
5,6,447
5,8,13428422
5,10,1522489
5,11,1967
5,12,57
5,13,306
5,14,94
5,15,1037957
5,16,13864
5,17,283139
5,18,651989
5,19,23
6,1,30
6,2,59985
6,5,105070
6,6,597938464
6,8,34089580
6,10,9881109
6,11,673456
6,12,42409
6,13,3
6,14,1042
6,15,1242248
6,16,194302
6,17,1197223
6,18,2599725
6,19,332
8,1,10
8,2,3687339
8,5,12573264
8,6,26553314
8,8,455908309
8,10,1640578
8,11,5790203
8,12,1346737
8,13,27854
8,14,1007
8,15,775895
8,16,3711989
8,17,1104964
8,18,3759328
8,19,3169
10,0,6
10,1,56
10,2,8145792
10,5,715247
10,6,3440109
10,8,182139
10,10,423511191
10,11,1205348
10,12,3597262
10,13,141386
10,14,2473
10,15,642924
10,16,10210958
10,17,1516946
10,18,7372972
10,19,5033
11,8,4
11,11,568440362
11,13,1
11,14,59
11,16,199
11,18,39
12,1,18
12,2,1211
12,5,454
12,6,48666
12,8,1248657
12,10,4321325
12,11,207
12,12,717110816
12,13,47799788
12,14,552
12,15,2603
12,16,16680918
12,17,34094
12,18,19532898
12,19,266884
13,0,13
13,1,2
13,2,218871
13,5,3356
13,6,1393
13,8,18925
13,10,168604
13,11,4697956
13,12,43874887
13,13,654297345
13,14,10
13,15,7344
13,16,28039049
13,17,31176
13,18,18861870
13,19,704583
14,1,566
14,2,3
14,5,2928
14,6,955
14,8,10077
14,10,12424
14,12,1
14,14,792417745
14,15,3341
14,16,2347
14,17,22419
14,18,47
15,5,265
15,6,167
15,8,3648
15,10,12941
15,14,1446
15,15,496393075
15,16,134
15,17,8195
15,18,279
16,0,161
16,1,21
16,2,341722
16,5,10942
16,6,82746
16,8,2800050
16,10,9174903
16,11,1438366
16,12,14415281
16,13,24243572
16,14,54
16,15,10826
16,16,597112269
16,17,557224
16,18,2
16,19,6981492
17,1,90
17,2,59672
17,5,1234461
17,6,2710381
17,8,1393209
17,10,2663794
17,11,11496
17,12,19910
17,13,16371
17,14,1361
17,15,176113
17,16,920022
17,17,63489104
17,18,1318275
17,19,5807
18,1,665
18,2,901844
18,5,88113
18,6,192407
18,8,313011
18,10,1499419
18,11,1845865
18,12,3856727
18,13,3623873
18,14,1718
18,15,249232
18,16,8175514
18,17,791016
18,18,2390561482
19,2,300
19,5,4165
19,6,5620
19,8,4710
19,10,28062
19,11,65
19,12,393777
19,13,1144444
19,15,10
19,16,5580158
19,17,1151
19,19,196163135
