OLD_ID,NEW_ID,COUNT
1,10,48111920
1,8,13194930
16,10,12542949
1,14,11014849
2,10,10097800
19,16,5077919
16,1,4971321
14,10,4898704
16,8,4397682
6,1,3555501
14,1,2761983
6,8,2233952
8,10,2160539
1,2,2065476
2,1,2056915
12,10,1980973
5,8,1957331
1,6,1942038
1,18,1823152
14,8,1811203
6,10,1684239
1,16,1672161
2,14,1575705
18,17,1289824
16,14,1249192
14,18,1161452
5,6,1079498
10,8,1029497
10,1,998194
5,1,981287
6,5,943357
8,1,936934
8,14,759868
5,14,710170
5,10,646096
6,14,644790
14,15,631481
2,8,611562
5,15,596399
10,16,569095
1,5,540562
16,6,500477
11,10,462525
10,14,449718
13,10,447220
12,11,441001
2,16,434558
12,1,414387
12,14,409192
10,15,342507
14,5,331877
12,16,298612
11,1,272338
16,18,264613
2,12,255967
1,12,253441
2,18,249448
12,8,248924
12,2,221692
10,5,203421
1,17,192858
11,12,187950
14,2,171866
16,5,168513
8,16,167988
10,6,164146
13,12,158184
16,11,149883
15,18,142048
14,6,139393
14,11,137616
14,12,137121
12,18,132634
6,15,132591
5,18,130499
16,2,118639
5,17,117939
10,2,114943
15,8,114653
14,17,113258
17,18,109576
8,6,108609
8,12,108431
19,18,106417
8,18,102779
6,17,98832
6,18,98730
17,15,92825
16,12,89568
11,8,85571
10,17,83941
17,10,81411
14,16,81119
13,1,78329
1,11,77460
2,11,77160
15,10,75863
6,16,72694
17,1,72427
10,18,69746
15,17,67229
11,2,66766
17,16,66345
11,14,65049
8,2,64455
11,18,64420
13,16,63052
2,6,62847
16,15,60735
8,17,60213
16,17,58881
19,1,57693
15,5,52445
13,18,49687
10,12,49549
19,10,49290
13,14,47765
13,11,45145
17,8,45020
15,14,44764
14,13,40602
11,6,37982
5,16,37198
12,6,36403
12,13,36229
1,15,31413
13,8,29455
15,6,29426
13,2,21199
16,19,20025
8,15,19559
5,11,18135
17,6,17605
8,5,17321
11,16,16851
6,2,16846
19,8,16798
16,13,16530
17,14,14789
2,13,14342
15,1,14102
11,13,11812
17,5,11219
18,14,9948
8,11,9750
19,17,9594
10,11,8635
6,11,7604
1,13,6786
5,12,6315
12,17,6067
5,2,4608
13,6,4546
2,17,4360
10,13,4229
17,2,3873
17,12,2516
1,19,2470
15,16,2467
8,13,2449
6,12,2248
18,15,1990
10,19,1943
18,10,1853
18,1,1658
13,17,1413
18,8,1172
14,19,866
2,15,832
2,5,787
18,6,727
12,15,685
18,5,561
19,14,524
11,17,479
12,5,461
17,11,411
13,5,402
2,19,358
8,19,339
12,19,241
18,16,241
13,15,227
19,12,226
5,0,178
6,19,165
5,13,155
6,0,152
6,13,139
19,15,135
19,13,94
17,19,80
18,13,76
17,13,75
15,0,68
1,0,67
5,19,63
18,12,63
11,5,44
18,2,43
8,0,40
18,0,35
13,19,26
19,6,19
19,0,19
10,0,18
17,0,17
16,0,15
19,2,13
14,0,10
18,19,9
18,11,5
11,19,4
13,0,3
12,0,2
19,5,2
19,11,2
